symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
AUDUSD,SELL,CHOCH,0.62175,0.62172,0.61386,0.920,2025-01-31 12:00,2025-01-31 15:00,0.62172,TRAILED_SL,3.22,0.10,NY_OPEN,SELL,True,,True,1,True,0.00
GBPUSD,SELL,CHOCH,1.24168,1.24166,1.22984,0.820,2025-01-31 12:10,2025-01-31 14:15,1.24166,TRAILED_SL,2.91,0.06,NY_OPEN,SELL,True,,True,1,True,0.00
USDJPY,BUY,HH_HL_CONTINUATION,154.67200,154.57900,154.96750,0.850,2025-01-31 17:00,2025-01-31 17:15,154.57900,SL_HIT,-9.30,-1.00,LONDON_CLOSE,SELL,True,,False,0,False,0.00
USDJPY,BUY,LIQUIDITY_GRAB_CONTINUATION,155.17700,155.05700,155.65485,0.970,2025-02-04 16:05,2025-02-04 16:30,155.05700,SL_HIT,-12.00,-0.63,LONDON_CLOSE,NEUTRAL,True,,False,1,False,0.00
AUDUSD,SELL,LIQUIDITY_GRAB_CONTINUATION,0.62863,0.62668,0.62508,0.970,2025-02-05 17:00,2025-02-06 07:10,0.62668,TRAILED_SL,9.00,0.63,LONDON_CLOSE,BUY,True,,True,6,True,0.00
AUDUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,0.62623,0.62626,0.62867,0.870,2025-02-06 15:00,2025-02-06 16:55,0.62626,TRAILED_SL,4.15,0.43,NY_OPEN,BUY,True,,True,1,True,0.00
USDJPY,SELL,CHOCH,152.38400,151.94600,150.34453,0.920,2025-02-06 15:10,2025-02-06 18:35,151.94600,TRAILED_SL,26.82,0.33,LONDON_CLOSE,SELL,True,,True,3,False,0.00
AUDUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,0.62617,0.62772,0.62230,0.850,2025-02-06 16:55,2025-02-06 17:50,0.62772,SL_HIT,-15.47,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.24576,1.24578,1.26154,0.920,2025-02-07 12:00,2025-02-07 12:35,1.24578,TRAILED_SL,2.11,0.03,NY_OPEN,NEUTRAL,True,,True,2,True,0.00
AUDUSD,SELL,CHOCH,0.62800,0.62799,0.62055,0.820,2025-02-07 14:00,2025-02-07 14:50,0.62799,TRAILED_SL,0.99,0.03,NY_OPEN,BUY,True,,True,1,True,0.00
GBPUSD,BUY,HH_HL_CONTINUATION,1.24498,1.24406,1.25095,1.000,2025-02-07 14:05,2025-02-07 15:30,1.24406,SL_HIT,-9.20,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
AUDUSD,SELL,CHOCH,0.62795,0.62931,0.62038,0.820,2025-02-07 14:50,2025-02-07 17:50,0.62931,SL_HIT,-13.60,-0.45,NY_OPEN,BUY,True,,False,3,False,0.00
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,151.74400,151.59000,149.69047,0.990,2025-02-07 15:40,2025-02-07 17:00,151.59000,TRAILED_SL,15.40,0.19,LONDON_CLOSE,SELL,True,,False,1,False,0.00
